Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1
CPIM.SE901306,2008.02,817.3153296,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2008.03,817.3153296,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2008.04,818.903892,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2008.05,833.9952343,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2008.06,840.3494837,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2008.07,849.8808578,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2008.08,864.177919,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2008.09,861.0007943,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2008.1,876.8864178,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2008.11,886.4177919,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2008.12,907.8633836,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2009.01,905.4805401,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2009.02,909.451946,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2009.03,911.0405083,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2009.04,903.8919778,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2009.05,926.1318507,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2009.06,936.457506,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2009.07,927.720413,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2009.08,935.6632248,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2009.09,953.9316918,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2009.1,938.8403495,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2009.11,956.3145353,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2009.12,949.1660048,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2010.01,970.6115965,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2010.02,949.9602859,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2010.03,941.223193,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2010.04,925.3375695,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2010.05,926.1318507,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2010.06,913.4233519,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2010.07,932.4861001,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2010.08,925.3375695,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2010.09,931.6918189,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2010.1,968.228753,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2010.11,970.6115965,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2010.12,989.6743447,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
